date,confirmed_per_day,confirmed_total,deaths_per_day,deaths_total,recovered_per_day,recovered_total,currently_infected
2021-09-02,13197,483877,271,12103,10602,256804,214970
2021-09-03,14922,498799,308,12411,11344,268148,218240
2021-09-04,9521,508320,347,12758,11848,279996,215566
2021-09-05,13137,521457,281,13039,9211,289207,219211
2021-09-06,12481,533938,311,13350,9730,298937,221651
2021-09-07,14208,548146,316,13666,10253,309190,225290
2021-09-08,12680,560826,424,14090,13937,323127,223609
2021-09-09,12420,573246,345,14435,12523,335650,223161
2021-09-10,13321,586567,275,14710,12751,348401,223456
2021-09-11,11932,598499,273,14983,12541,360942,222574
2021-09-12,12026,610525,261,15244,11116,372058,223223
2021-09-13,11172,621697,381,15625,11200,383258,222814
2021-09-14,10508,632205,276,15901,12683,395941,220363
2021-09-15,10585,642790,250,16151,14189,410130,216509
